date,country,device,platform,views,users
2021-04-14,America,Android,Web Mobile,141098,43940
2021-04-15,The Netherlands,Desktop,Web Mobile,109522,47204
2021-04-16,Germany,Android,App,140899,25983
2021-04-17,Australia,Desktop,Web Mobile,101972,35970
2021-04-18,Australia,Desktop,Web Desktop,88391,33630
2021-04-19,Germany,Desktop,Web Mobile,54268,45491
2021-04-20,England,iOS,App,133836,22164
2021-04-21,Vietnam,iOS,Web Desktop,73227,33550
2021-04-22,Germany,iOS,Web Desktop,138402,29143
2021-04-23,America,Android,App,115007,41335
2021-04-24,Australia,iOS,App,69412,23299
2021-04-25,England,Desktop,Web Desktop,119710,34090
2021-04-26,France,Android,Web Mobile,70108,23089
2021-04-27,America,Desktop,Web Desktop,122685,41331
2021-04-28,Australia,Desktop,Web Mobile,105296,46136
2021-04-29,Germany,Android,App,124448,33072
2021-04-30,Australia,iOS,App,132769,29215
2021-05-01,Germany,iOS,App,118702,29927
2021-05-02,Germany,Android,Web Desktop,95887,46320
2021-05-03,Germany,Android,Web Desktop,61621,46151
2021-05-04,Australia,Android,Web Desktop,149778,47331
2021-05-05,The Netherlands,Android,Web Mobile,142250,22546
2021-05-06,England,Desktop,Web Mobile,139635,22528
2021-05-07,England,Android,App,102561,20669
2021-05-08,America,Android,Web Desktop,135831,45917
2021-05-09,Vietnam,Desktop,Web Mobile,72608,30973
2021-05-10,Vietnam,iOS,Web Mobile,79515,44873
2021-05-11,The Netherlands,Desktop,App,131817,48179
2021-05-12,Germany,iOS,App,116666,35444
2021-05-13,England,iOS,App,97041,47802
2021-05-14,Vietnam,Desktop,App,82334,40258
2021-05-15,The Netherlands,iOS,Web Mobile,70143,39256
2021-05-16,America,Android,App,117650,25529
2021-05-17,Australia,iOS,Web Mobile,69481,21053
2021-05-18,England,Desktop,Web Desktop,58360,49014
2021-05-19,Australia,iOS,Web Mobile,75338,24318
2021-05-20,The Netherlands,Android,App,87260,29622
2021-05-21,France,Desktop,App,74419,28981
2021-05-22,The Netherlands,Desktop,Web Mobile,122748,45344
2021-05-23,America,Desktop,Web Desktop,122551,29716
2021-05-24,Australia,Desktop,App,102258,39951
2021-05-25,Vietnam,Desktop,App,113226,42302
2021-05-26,France,iOS,Web Desktop,124210,33116
2021-05-27,France,Android,Web Desktop,84355,40388
2021-05-28,England,Android,Web Mobile,57317,42892
2021-05-29,The Netherlands,iOS,App,93259,23472
2021-05-30,France,Desktop,Web Mobile,70959,24860
2021-05-31,Germany,Desktop,App,77644,27956
2021-06-01,The Netherlands,iOS,Web Desktop,104476,25340
2021-06-02,Vietnam,Android,Web Mobile,146067,48170
2021-06-03,England,Desktop,Web Desktop,127302,45832
2021-06-04,France,Android,Web Mobile,102763,40668
2021-06-05,The Netherlands,iOS,Web Desktop,131225,39502
2021-06-06,The Netherlands,Desktop,Web Mobile,71040,23501
2021-06-07,The Netherlands,iOS,Web Mobile,119879,37460
2021-06-08,England,iOS,Web Mobile,139333,25167
2021-06-09,England,Android,Web Desktop,88868,44858
2021-06-10,The Netherlands,Android,Web Desktop,133956,33172
2021-06-11,England,Desktop,Web Mobile,65010,40013
2021-06-12,Australia,iOS,Web Desktop,65473,33626
2021-06-13,Germany,Android,App,89823,34830
2021-06-14,The Netherlands,iOS,Web Mobile,89382,42001
2021-06-15,America,Android,Web Mobile,63263,22911
2021-06-16,England,Desktop,Web Mobile,144428,48438
2021-06-17,The Netherlands,Android,Web Desktop,122742,30545
2021-06-18,The Netherlands,Android,Web Desktop,106203,24326
2021-06-19,The Netherlands,Android,Web Desktop,104520,24927
2021-06-20,Vietnam,Android,App,55561,43544
2021-06-21,The Netherlands,iOS,Web Mobile,140481,33631
2021-06-22,England,Android,App,125362,43178
2021-06-23,The Netherlands,Android,App,144543,22785
2021-06-24,Vietnam,Android,Web Desktop,134800,28259
2021-06-25,The Netherlands,Desktop,App,59731,23202
2021-06-26,Australia,iOS,App,96843,26582
2021-06-27,England,Desktop,App,71374,33056
2021-06-28,England,Desktop,App,119582,30850
2021-06-29,Germany,Desktop,App,124877,36140
2021-06-30,Vietnam,iOS,App,71841,41379
2021-07-01,England,Android,Web Mobile,57829,24470
2021-07-02,England,Android,Web Desktop,56014,45780
2021-07-03,Germany,Android,App,55670,21874
2021-07-04,The Netherlands,Android,Web Mobile,79434,30689
2021-07-05,Germany,Android,Web Desktop,123231,24454
2021-07-06,Vietnam,iOS,App,87288,33552
2021-07-07,Germany,iOS,App,58735,37455
2021-07-08,France,Desktop,Web Mobile,139583,23862
2021-07-09,The Netherlands,iOS,Web Desktop,129312,21666
2021-07-10,America,iOS,Web Desktop,94381,29622
2021-07-11,Germany,Android,Web Desktop,103063,30671
2021-07-12,Germany,Desktop,Web Mobile,95408,33187
2021-07-13,France,Android,App,63482,20906
2021-07-14,Germany,Android,Web Mobile,76333,38951
2021-07-15,Vietnam,Android,Web Desktop,94785,33676
2021-07-16,Germany,Android,Web Desktop,112178,41236
2021-07-17,England,Android,Web Mobile,110572,20234
2021-07-18,Vietnam,iOS,Web Mobile,113859,49795
2021-07-19,Germany,iOS,Web Desktop,70337,21690
2021-07-20,Vietnam,Android,App,93942,31769
2021-07-21,America,Desktop,Web Desktop,57583,31028
2021-07-22,Germany,iOS,Web Mobile,98252,25471
2021-07-23,Australia,Android,Web Desktop,120173,32334
2021-07-24,England,Android,App,109027,33315
2021-07-25,America,Android,Web Mobile,104857,45109
2021-07-26,England,iOS,App,57436,23879
2021-07-27,America,Android,Web Mobile,85259,23128
2021-07-28,Germany,Android,App,130846,28403
2021-07-29,The Netherlands,iOS,Web Mobile,148269,25250
2021-07-30,America,Android,Web Desktop,78108,47757
2021-07-31,America,Desktop,App,120145,45408
2021-08-01,Vietnam,iOS,Web Mobile,140060,38480
2021-08-02,Vietnam,Desktop,Web Mobile,96140,21438
2021-08-03,The Netherlands,Android,Web Desktop,54627,47911
2021-08-04,America,Desktop,Web Desktop,141936,20987
2021-08-05,The Netherlands,Android,Web Desktop,79071,25669
2021-08-06,Vietnam,Android,App,149833,27621
2021-08-07,Germany,Desktop,Web Desktop,108831,30703
2021-08-08,Australia,Android,App,77106,26651
2021-08-09,America,Android,Web Desktop,65181,20088
2021-08-10,Australia,Android,App,136781,35255
2021-08-11,France,iOS,Web Mobile,124221,31372
2021-08-12,Germany,iOS,Web Mobile,145089,45669
2021-08-13,Germany,Desktop,Web Desktop,95070,42357
2021-08-14,America,Desktop,Web Desktop,122952,20201
2021-08-15,America,iOS,App,102116,23590
2021-08-16,Germany,Android,Web Mobile,144253,48678
2021-08-17,America,Desktop,App,149940,49300
2021-08-18,France,Android,Web Desktop,71895,42697
2021-08-19,Germany,Desktop,Web Mobile,141335,28316
2021-08-20,Vietnam,Android,Web Desktop,139670,49701
2021-08-21,France,Android,Web Desktop,84765,36381
2021-08-22,America,Desktop,App,107825,36010
2021-08-23,America,iOS,Web Desktop,133905,29309
2021-08-24,England,Desktop,App,79396,49189
2021-08-25,Australia,Desktop,Web Mobile,93288,24137
2021-08-26,Germany,Desktop,App,107263,39655
2021-08-27,The Netherlands,iOS,Web Mobile,93824,44861
2021-08-28,Germany,iOS,Web Mobile,100155,32115
2021-08-29,France,iOS,Web Mobile,118232,47863
2021-08-30,England,Desktop,Web Desktop,148437,28647
2021-08-31,Vietnam,iOS,App,51604,49734
2021-09-01,America,Desktop,Web Desktop,64675,44079
2021-09-02,Vietnam,iOS,App,56300,39746
2021-09-03,Germany,iOS,Web Mobile,128276,46717
2021-09-04,Germany,iOS,Web Desktop,92192,43415
2021-09-05,Australia,iOS,App,60252,28244
2021-09-06,Vietnam,Android,Web Desktop,81528,36633
2021-09-07,England,Android,Web Desktop,100050,43037
2021-09-08,Germany,Android,Web Desktop,54442,44420
2021-09-09,France,iOS,Web Mobile,79493,38412
2021-09-10,Australia,Android,Web Mobile,78423,20616
2021-09-11,Germany,Desktop,Web Mobile,139383,38880
2021-09-12,England,Android,Web Mobile,75572,38851
2021-09-13,Vietnam,Android,Web Mobile,84958,42208
2021-09-14,Germany,iOS,Web Desktop,64790,41419
2021-09-15,England,Android,Web Mobile,128239,49687
2021-09-16,The Netherlands,iOS,App,121924,30792
2021-09-17,America,Android,App,114735,47574
2021-09-18,America,iOS,App,143187,32260
2021-09-19,England,iOS,Web Desktop,147393,36649
2021-09-20,Germany,Desktop,Web Desktop,75809,47106
2021-09-21,Germany,iOS,App,124960,22237
2021-09-22,Germany,iOS,Web Mobile,131177,28286
2021-09-23,Germany,iOS,App,126656,27725
2021-09-24,England,Android,App,149561,35334
2021-09-25,Vietnam,Android,App,108179,49520
2021-09-26,England,iOS,Web Desktop,70630,48496
2021-09-27,England,Desktop,Web Mobile,56432,48153
2021-09-28,England,Desktop,App,82695,30675
2021-09-29,France,Desktop,App,116516,33517
2021-09-30,The Netherlands,Desktop,Web Mobile,133222,25456
2021-10-01,The Netherlands,Desktop,Web Mobile,98241,32619
2021-10-02,England,iOS,App,108959,36637
2021-10-03,Australia,Desktop,App,109381,45734
2021-10-04,France,iOS,App,50300,25295
2021-10-05,England,iOS,Web Mobile,117160,39851
2021-10-06,England,Android,Web Desktop,78644,32014
2021-10-07,Vietnam,iOS,Web Desktop,124131,35261
2021-10-08,Vietnam,iOS,Web Mobile,137492,22041
2021-10-09,England,iOS,Web Desktop,149834,40501
2021-10-10,Vietnam,Desktop,Web Desktop,139199,24818
2021-10-11,France,Desktop,Web Mobile,128330,48807
2021-10-12,England,iOS,Web Desktop,123617,42731
2021-10-13,France,iOS,Web Desktop,118742,30090
2021-10-14,France,iOS,Web Mobile,140838,22893
2021-10-15,France,iOS,Web Mobile,88840,26962
2021-10-16,Vietnam,Android,App,110339,42229
2021-10-17,Vietnam,Android,App,135213,40274
2021-10-18,Germany,iOS,App,56370,42193
2021-10-19,America,iOS,Web Mobile,122671,36514
2021-10-20,America,Desktop,App,70295,28730
2021-10-21,The Netherlands,Desktop,Web Desktop,89590,26329
2021-10-22,England,Android,Web Desktop,133250,24598
2021-10-23,Germany,Desktop,Web Mobile,89179,44493
2021-10-24,France,iOS,Web Desktop,50957,33545
2021-10-25,England,iOS,Web Desktop,108726,37006
2021-10-26,France,Android,Web Mobile,119749,27215
2021-10-27,France,Desktop,Web Mobile,71407,36596
2021-10-28,Germany,Desktop,App,140403,36969
2021-10-29,England,Android,Web Mobile,94706,45688
2021-10-30,Australia,iOS,App,123055,36049
2021-10-31,Vietnam,Desktop,Web Mobile,62243,34415
2021-11-01,England,iOS,Web Mobile,110455,49383
2021-11-02,The Netherlands,Android,App,125548,49628
2021-11-03,The Netherlands,iOS,Web Desktop,98418,49755
2021-11-04,Australia,Desktop,App,112525,28676
2021-11-05,Australia,iOS,Web Mobile,106989,29764
2021-11-06,Australia,Desktop,Web Desktop,147033,47561
2021-11-07,Vietnam,iOS,App,58740,21357
2021-11-08,Germany,Desktop,Web Desktop,71143,32536
2021-11-09,England,Android,Web Mobile,99140,41207
2021-11-10,The Netherlands,iOS,Web Desktop,102460,44711
2021-11-11,Australia,iOS,Web Mobile,71672,43206
2021-11-12,Germany,Desktop,App,138402,42401
2021-11-13,Germany,Desktop,App,119841,20970
2021-11-14,France,Desktop,Web Desktop,82877,48116
2021-11-15,England,Android,Web Mobile,145329,47889
2021-11-16,France,Android,Web Mobile,112005,33380
2021-11-17,Germany,Desktop,Web Desktop,70312,27047
2021-11-18,America,Android,Web Desktop,146611,35230
2021-11-19,Germany,iOS,App,136265,30904
2021-11-20,Australia,iOS,Web Mobile,61174,21341
2021-11-21,America,Android,App,56046,46868
2021-11-22,Australia,iOS,App,123065,27959
2021-11-23,Australia,iOS,Web Desktop,103540,23245
2021-11-24,Germany,iOS,Web Desktop,125791,45304
2021-11-25,Vietnam,Android,Web Desktop,109744,31882
2021-11-26,England,Desktop,App,143901,44126
2021-11-27,The Netherlands,Desktop,App,146969,27728
2021-11-28,America,iOS,App,98767,42543
2021-11-29,England,Desktop,App,83889,24238
2021-11-30,England,Desktop,App,85421,42138
2021-12-01,England,iOS,Web Mobile,72117,45102
2021-12-02,England,Android,Web Desktop,148640,49782
2021-12-03,Australia,Desktop,App,109115,44044
2021-12-04,The Netherlands,Android,Web Desktop,96035,25085
2021-12-05,America,Desktop,Web Mobile,135208,40921
2021-12-06,Australia,Desktop,Web Mobile,52874,46890
2021-12-07,Vietnam,iOS,App,107155,24410
2021-12-08,Germany,Desktop,Web Mobile,146963,47055
2021-12-09,Australia,Android,Web Desktop,135939,30603
2021-12-10,Vietnam,Android,Web Desktop,131478,28397
2021-12-11,America,iOS,Web Desktop,145151,34768
2021-12-12,The Netherlands,Desktop,App,121819,37228
2021-12-13,Australia,Desktop,Web Mobile,139147,37370
2021-12-14,France,Android,Web Mobile,102549,20351
2021-12-15,Vietnam,iOS,Web Mobile,72456,38848
2021-12-16,America,Android,Web Desktop,117801,20322
2021-12-17,England,Android,Web Desktop,88815,38903
2021-12-18,France,Android,App,107746,29468
2021-12-19,The Netherlands,Desktop,App,89093,28275
2021-12-20,Australia,Android,App,72737,23221
2021-12-21,America,iOS,Web Mobile,134176,32316
2021-12-22,Vietnam,Desktop,Web Mobile,124056,49145
2021-12-23,Australia,Android,App,134796,25507
2021-12-24,America,iOS,Web Mobile,89086,21472
2021-12-25,France,Android,Web Mobile,107131,40181
2021-12-26,Australia,Android,Web Desktop,119892,35912
2021-12-27,The Netherlands,iOS,App,113388,45692
2021-12-28,Germany,iOS,App,111820,27970
2021-12-29,The Netherlands,Android,Web Desktop,59891,43417
2021-12-30,America,iOS,Web Mobile,113161,29770
2021-12-31,America,iOS,Web Mobile,121400,41174
